City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saint Anthony,US,80.91,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
2,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
6,Viransehir,TR,88.61,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
14,Butaritari,KI,82.87,broken clouds,3.0707,172.7902,Isles Sunset Lodge
21,Tupelo,US,82.69,clear sky,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
26,San Juan De Uraba,CO,76.15,overcast clouds,8.7592,-76.5297,Hotel Cerro De Zumba
28,Pandan,PH,86.31,moderate rain,14.0453,124.1694,Bonifacio Lodge
34,Atuona,PF,77.74,few clouds,-9.8,-139.0333,Villa Enata
46,Tuy Hoa,VN,88.92,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
52,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
55,Victoria,HK,88.25,overcast clouds,22.2855,114.1577,Mini Central
59,Bahia Honda,CU,78.64,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
60,Susaki,JP,85.6,scattered clouds,33.3667,133.2833,Awa
62,Baturaja,ID,87.35,scattered clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
65,Bethel,US,77.9,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
69,Tsagan Aman,RU,82.13,overcast clouds,47.5639,46.7218,Tirupathi
71,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
74,Plymouth,US,76.82,clear sky,41.8334,-70.8328,Rodeway Inn Middleboro-Plymouth
75,Batticaloa,LK,86.59,overcast clouds,7.7102,81.6924,Grand Star Guest House
82,Hithadhoo,MV,82.27,broken clouds,-0.6,73.0833,Scoop Guest House
86,Castiglione Del Lago,IT,75.11,clear sky,43.1271,12.0453,Hotel Trasimeno
91,Hilo,US,85.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
92,Sao Filipe,CV,77.27,overcast clouds,14.8961,-24.4956,Hotel Xaguate
93,Hue,VN,87.91,light rain,16.4667,107.6,Saigon Morin Hotel
98,Cacoal,BR,77.72,light rain,-11.4386,-61.4472,Hotel BR 364
99,Lichuan,CN,82.44,scattered clouds,30.3,108.85,Yuanlai Homestay
101,Monrovia,LR,75.65,overcast clouds,6.3005,-10.7969,Sunset Inn
107,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
118,Cabo San Lucas,MX,87.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
126,Bardiyah,LY,77.38,clear sky,31.7561,25.0865,بورتو بردية
134,Saint-Georges,GD,79.65,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
136,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
138,Dingle,PH,84.42,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
139,Mendota,US,79.07,broken clouds,36.7536,-120.3816,Joe Gómez motel
140,Clarksville,US,77.25,clear sky,36.5298,-87.3595,Midtown Inn
141,Methoni,GR,81.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
146,Iralaya,HN,77.56,overcast clouds,15.0,-83.2333,Iglesia morava renovada
151,Pangai,TO,77.18,light rain,-19.8,-174.35,Ha'apai Beach Resort
153,Iracoubo,GF,76.55,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
154,Isangel,VU,79.7,few clouds,-19.55,169.2667,Tanna Lodge
156,Gilgit,PK,84.22,scattered clouds,35.9221,74.3087,Tourist Hamlet Gilgit
159,Manzanillo,CU,77.0,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
182,Shingu,JP,83.89,broken clouds,33.7333,135.9833,Shingu UI Hotel
184,Kavaratti,IN,80.69,overcast clouds,10.5669,72.642,Green leaf
187,Saint George,US,89.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
196,Coahuayana,MX,78.48,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
