City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bulgan,MN,48.8125,103.5347,57.42,80,96,1.34,overcast clouds
1,Saint Anthony,US,45.0205,-93.218,80.91,68,0,17.27,clear sky
2,Vaini,TO,-21.2,-175.2,78.96,94,75,5.75,broken clouds
3,Carnarvon,AU,-24.8667,113.6333,67.96,38,0,7.47,clear sky
4,Khudumelapye,BW,-23.8833,24.75,52.92,28,6,5.59,clear sky
5,Tuktoyaktuk,CA,69.4541,-133.0374,64.53,53,92,8.7,overcast clouds
6,Viransehir,TR,37.2353,39.7631,88.61,33,0,5.3,clear sky
7,Burnie,AU,-41.0667,145.9167,57.92,55,21,6.29,few clouds
8,Kodiak,US,57.79,-152.4072,63.91,48,20,8.05,few clouds
9,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,4.61,clear sky
10,Namibe,AO,-15.1961,12.1522,61.07,87,1,7.16,clear sky
11,Barrow,US,71.2906,-156.7887,39.22,93,100,8.05,overcast clouds
12,Tasiilaq,GL,65.6145,-37.6368,42.96,74,97,3.89,overcast clouds
13,Simao,CN,22.7886,100.9748,72.16,89,96,1.25,overcast clouds
14,Butaritari,KI,3.0707,172.7902,82.87,73,84,11.79,broken clouds
15,Busselton,AU,-33.65,115.3333,58.55,62,99,12.84,overcast clouds
16,Fort Nelson,CA,58.8053,-122.7002,62.58,58,84,5.14,broken clouds
17,Rikitea,PF,-23.1203,-134.9692,70.43,59,79,17.43,broken clouds
18,Adrar,MR,20.5022,-10.0711,92.25,31,43,11.92,scattered clouds
19,Saskylakh,RU,71.9167,114.0833,63.64,52,7,8.75,clear sky
20,Port Alfred,ZA,-33.5906,26.891,58.06,80,81,10.74,broken clouds
21,Tupelo,US,34.2576,-88.7034,82.69,78,0,5.75,clear sky
22,Stepnyak,KZ,52.8339,70.7803,71.37,45,6,6.24,clear sky
23,Nikolskoye,RU,59.7035,30.7861,70.81,76,79,6.82,broken clouds
24,Bobrovytsya,UA,50.75,31.3833,63.57,92,2,5.88,clear sky
25,Bluff,NZ,-46.6,168.3333,57.79,71,35,10.38,light rain
26,San Juan De Uraba,CO,8.7592,-76.5297,76.15,91,94,6.76,overcast clouds
27,Mbandaka,CD,0.0487,18.2603,69.49,92,23,2.82,few clouds
28,Pandan,PH,14.0453,124.1694,86.31,65,100,9.22,moderate rain
29,Sikonge,TZ,-5.6333,32.7667,59.32,68,29,4.72,scattered clouds
