City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Carnarvon,-24.8667,113.6333,64.04,45,0,12.88,AU,2022-08-05 02:40:24
1,Ushuaia,-54.8,-68.3,38.86,81,40,3.44,AR,2022-08-05 02:40:25
2,Mataura,-46.1927,168.8643,57.47,61,100,8.37,NZ,2022-08-05 02:40:25
3,Bambous Virieux,-20.3428,57.7575,70.05,68,40,6.91,MU,2022-08-05 02:40:26
4,Faya,18.3851,42.4509,63.12,74,94,2.24,SA,2022-08-05 02:40:26
5,Busselton,-33.65,115.3333,54.99,67,100,4.88,AU,2022-08-05 02:40:27
6,Port Alfred,-33.5906,26.891,54.18,93,100,1.01,ZA,2022-08-05 02:40:27
7,Abidjan,5.3094,-4.0197,73.36,100,75,4.61,CI,2022-08-05 02:40:18
8,Puerto Ayora,-0.7393,-90.3518,67.55,86,36,1.99,EC,2022-08-05 02:40:28
9,Tual,-5.6667,132.75,80.31,82,100,10.2,ID,2022-08-05 02:40:28
10,Isla Vista,34.4133,-119.861,79.16,75,75,13.8,US,2022-08-05 02:40:28
11,San Quintin,30.4833,-115.95,70.56,86,0,13.35,MX,2022-08-05 02:40:29
12,Upernavik,72.7868,-56.1549,42.98,97,100,14.18,GL,2022-08-05 02:40:29
13,Hermanus,-34.4187,19.2345,53.13,77,23,7.63,ZA,2022-08-05 02:40:29
14,Quimperle,47.8667,-3.55,56.12,76,0,8.05,FR,2022-08-05 02:40:30
15,Punta Arenas,-53.15,-70.9167,37.51,87,75,8.05,CL,2022-08-05 02:40:30
16,Basco,20.4487,121.9702,85.32,74,75,12.75,PH,2022-08-05 02:40:31
17,Sharjah,25.3573,55.4033,93.18,66,0,5.75,AE,2022-08-05 02:35:57
18,Bakel,14.905,-12.4568,80.58,78,90,5.57,SN,2022-08-05 02:40:31
19,Skibbereen,51.55,-9.2667,57.11,86,0,8.46,IE,2022-08-05 02:40:32
20,Provideniya,64.3833,-173.3,46.51,100,100,8.95,RU,2022-08-05 02:40:32
21,Hilo,19.7297,-155.09,82.27,83,100,10.36,US,2022-08-05 02:37:05
22,Hobart,-42.8794,147.3294,55.26,80,100,1.99,AU,2022-08-05 02:40:07
23,Fortuna,40.5982,-124.1573,66.92,79,0,9.22,US,2022-08-05 02:40:33
24,Kapaa,22.0752,-159.319,83.12,70,0,9.22,US,2022-08-05 02:40:34
25,Albany,42.6001,-73.9662,72.25,94,99,2.95,US,2022-08-05 02:37:03
26,Pevek,69.7008,170.3133,37.98,89,100,6.46,RU,2022-08-05 02:40:34
27,Hithadhoo,-0.6,73.0833,81.41,66,95,9.64,MV,2022-08-05 02:40:35
28,Taytay,14.5678,121.1394,84.13,82,75,5.75,PH,2022-08-05 02:40:35
29,Esperance,-33.8667,121.9,53.44,66,90,15.55,AU,2022-08-05 02:40:36
30,Longyearbyen,78.2186,15.6401,48.04,93,75,2.3,SJ,2022-08-05 02:40:36
31,Thompson,55.7435,-97.8558,60.96,51,75,4.61,CA,2022-08-05 02:40:36
32,Vryburg,-26.9566,24.7284,49.08,63,0,3.67,ZA,2022-08-05 02:40:37
33,Tuktoyaktuk,69.4541,-133.0374,71.6,53,75,6.91,CA,2022-08-05 02:40:37
34,New Norfolk,-42.7826,147.0587,54.91,74,100,1.99,AU,2022-08-05 02:40:37
35,Souillac,-20.5167,57.5167,70.18,68,40,6.91,MU,2022-08-05 02:40:38
36,Mbuyapey,-26.2,-56.75,58.78,77,95,4.65,PY,2022-08-05 02:40:38
37,Nuuk,64.1835,-51.7216,54.21,66,75,36.82,GL,2022-08-05 02:40:38
38,Belaya Gora,68.5333,146.4167,59.86,42,41,6.82,RU,2022-08-05 02:40:39
39,Tucano,-10.9631,-38.7867,65.77,97,35,3.2,BR,2022-08-05 02:40:39
40,Cockburn Town,21.4612,-71.1419,82.02,81,56,22.17,TC,2022-08-05 02:40:40
41,Banjar,-8.19,114.9675,87.66,49,10,0.92,ID,2022-08-05 02:36:15
42,Atuona,-9.8,-139.0333,77.04,79,6,17.52,PF,2022-08-05 02:40:40
43,Iqaluit,63.7506,-68.5145,40.73,100,100,8.05,CA,2022-08-05 02:40:40
44,Roald,62.5833,6.1333,53.76,82,75,11.5,NO,2022-08-05 02:40:41
45,Xingyi,24.1877,102.817,71.85,80,100,1.36,CN,2022-08-05 02:40:41
46,Khatanga,71.9667,102.5,58.28,66,100,4.27,RU,2022-08-05 02:41:41
47,Kodiak,57.79,-152.4072,58.51,77,100,14.97,US,2022-08-05 02:41:42
48,Coihaique,-45.5752,-72.0662,34.41,98,74,4.32,CL,2022-08-05 02:41:06
49,Castro,-24.7911,-50.0119,65.88,53,98,7.25,BR,2022-08-05 02:41:42
50,Pimentel,-6.8367,-79.9342,61.68,88,35,11.68,PE,2022-08-05 02:41:43
51,Banda Aceh,5.5577,95.3222,84.29,63,100,10.13,ID,2022-08-05 02:41:43
52,Port Elizabeth,-33.918,25.5701,46.69,100,81,4.61,ZA,2022-08-05 02:37:45
53,Chokurdakh,70.6333,147.9167,53.98,50,100,15.59,RU,2022-08-05 02:41:44
54,Makakilo City,21.3469,-158.0858,81.68,70,75,17.27,US,2022-08-05 02:41:44
55,Rikitea,-23.1203,-134.9692,70.61,72,90,22.7,PF,2022-08-05 02:41:44
56,Kyzyl-Suu,42.3414,78.0056,66.58,51,0,4.34,KG,2022-08-05 02:41:45
57,Cidreira,-30.1811,-50.2056,58.03,88,89,20.51,BR,2022-08-05 02:41:45
58,Hasaki,35.7333,140.8333,79.2,79,100,14.79,JP,2022-08-05 02:41:45
59,Butaritari,3.0707,172.7902,81.75,75,26,10.76,KI,2022-08-05 02:41:46
60,Darwen,53.698,-2.4649,56.05,86,100,5.66,GB,2022-08-05 02:38:28
61,Saint-Georges,12.0564,-61.7485,80.28,83,20,14.97,GD,2022-08-05 02:41:46
62,Vanavara,60.34,102.2797,58.14,79,83,1.16,RU,2022-08-05 02:41:46
63,Cherskiy,68.75,161.3,50.76,58,100,13.69,RU,2022-08-05 02:41:47
64,Huanren,41.2647,125.3667,81.95,76,100,7.67,CN,2022-08-05 02:41:47
65,Abu Samrah,35.3029,37.1841,80.64,39,8,6.35,SY,2022-08-05 02:41:48
66,Cape Town,-33.9258,18.4232,54.27,85,75,9.22,ZA,2022-08-05 02:37:06
67,Bluff,-46.6,168.3333,57.79,60,100,20.04,NZ,2022-08-05 02:41:49
68,Nikolskoye,59.7035,30.7861,65.88,70,15,4.32,RU,2022-08-05 02:41:49
69,Barrow,71.2906,-156.7887,57.22,72,0,10.36,US,2022-08-05 02:41:49
70,Jalacingo,19.8,-97.3,57.88,90,34,5.06,MX,2022-08-05 02:41:50
71,Berlevag,70.8578,29.0864,55.2,87,26,3.44,NO,2022-08-05 02:41:50
